Hash,Song Folder,Simfile,Title,Artist,Steps Type,Difficulty,Meter,Description,Chart Name,Credit
996bf355e5de44ad,5 Mins Of Acid,5 Mins Of Acid.ssc,5 Mins Of Acid,KI/KI,dance-single,challenge,13,FS+ BR KS- DS-,5 Mins of THC4,dimo
3e9031441b77fab9,Aresene's Bazaar,Arsene's Bazaar.ssc,Aresene's Bazaar,James Landino,dance-single,challenge,12,XO SS FS,,Snap
4f949d8e05f32f50,Azalea,Azalea.ssc,Azalea,Memme & M2U,dance-single,challenge,11,XO FS BR BU- SJ- FL-,Memme2U,Benpai
22f6263af9be0b6b,Beyond Eternity,Beyond Eternity.ssc,Beyond Eternity,"GHOST DATA, Skye Light",dance-single,challenge,11,FS BRSS,,Wafles
5953a34fd2cd40f1,BxMxC,BxMxC.ssc,BxMxC,BABYMETAL,dance-single,challenge,12,JA+ DS+ FS BR BU,Xynn,Xynn
fec7522480170c8a,Feeling NRG,Feeling NRG.ssc,Feeling NRG,YUKIYANAGI,dance-single,challenge,12,FS+ BR+ DS+,,Ritz
6e9ad3a992102915,Go Stoopid,Go Stoopid - JSTJR & Rawtek.ssc,Go Stoopid,"JSTJR, Rawtek",dance-single,challenge,12,FS BR SS BR XO,,
4b7c49173870b344,Hot Guy Alert,"Hot Guy Alert - The Floozies, The Sponges.ssc",Hot Guy Alert,"The Floozies, The Sponges",dance-single,challenge,11,BR BU FS XO JA,,Tony S.
a4bc270ad709a9fd,Itan,itan.ssc,異端,7OAST,dance-single,challenge,13,,,Wafles
efd7909645aba29c,"Komm, Susser Tod - [Zaia]","Komm, Susser Tod.ssc","Komm, Süsser Tod (Hard)",Apocalypse ft. ARIANNE,dance-single,challenge,14,15/14-16/20/17/24,,Zaia | 14 |
969dad24922317c1,Koto Overdrive,Koto Overdrive.ssc,Koto Overdrive,Alesda!,dance-single,challenge,11,JA FS XO SS BU-,,Snap
4b42c43066bd717b,Lines,Lines.ssc,Lines,Nhato,dance-single,challenge,12,FS+ BU,,Wafles
57bb7e53e5b6090c,MAD,MAD.ssc,MAD (Hard),Mat Zo,dance-single,challenge,14,BR+ FS+ KS,ANGRY,midtown
6e6103ecf837152e,Psychoscraper,Psychoscraper.ssc,Psychoscraper,ariiol,dance-single,challenge,12,BT+ FS,,Snap
c064c72efd651fe4,Sonic Boom (From Sonic CD),Vector U - Sonic Boom (From Sonic CD).ssc,Sonic Boom,Vector U,dance-single,challenge,14,BR+ FS XO- DS- STR(16/1/32),,HellKiteChaos
913a5c614722de0d,Thousand Absolutes,Thousand Absolutes.ssc,Thousand Absolutes,James Landino ft. DEMONDICE,dance-single,challenge,12,KS BR DS FS,,Piols & Wafles
4672e202388a5fec,Wild West,Wild West.sm,Wild West,Mo Falk,dance-single,medium,9,BT FS,,
95b5fe504f42fa3f,Wild West,Wild West.sm,Wild West,Mo Falk,dance-single,challenge,12,BT SS FS KS BU,,
cddf3339985b61e1,Wild West,Wild West.sm,Wild West,Mo Falk,dance-single,hard,11,BT FS KS,,
95b5fe504f42fa3f,Wild West,Wild West.ssc,Wild West,Mo Falk,dance-single,challenge,12,BT SS FS KS BU,,Snap
a087601d3d52726f,"get funky, get hyper... flip",get funky get hyperflip.ssc,"get funky, GET \#HYPER...FLIP",xaev,dance-single,challenge,13,FS BR Rolls,32* / 31* / 31*,Exschwasion
