Hash,Song Folder,Simfile,Title,Artist,Steps Type,Difficulty,Meter,Description,Chart Name,Credit
20ba0b5a36805858,09 - Undo U (4by4 Mix),Undo U 4x4 Mix.ssc,09 - Undo U (Medium),Ninajirachi,dance-single,challenge,8,DS,,altic
88ea9f8af9490151,BIRDS OF A FEATHER (Alohaii Remix),birds of a feather (alohaii remix).ssc,BIRDS OF A FEATHER (Alohaii Remix) (Hard),Billie Eilish,dance-single,challenge,10,FS+ DS BR,,Ritz
e77af6b4d45028ff,Chemicals,Chemicals.ssc,Chemicals (Medium),"NGHTMRE, Staysick",dance-single,challenge,9,FS,,Litter*
9b4bc7e9928de39b,Cloud Surfing,Cloud Surfing.ssc,Cloud Surfing,"Wave Meow, Zentra",dance-single,challenge,9,XO DS,,Snap
26bad0d39d177d0c,DISCONNECTION,DISCONNECTION.sm,DISCONNECTION,Moe Shop,dance-single,challenge,11,digital detox,,
b32c5908a47afc44,DISCONNECTION,DISCONNECTION.sm,DISCONNECTION,Moe Shop,dance-single,hard,9,step off the grid,,
a76080e031c0e69d,DISCONNECTION,DISCONNECTION.sm,DISCONNECTION,Moe Shop,dance-single,medium,7,このコネクション,,
3a7883f0a70f5eac,DISCONNECTION,DISCONNECTION.sm,DISCONNECTION,Moe Shop,dance-single,easy,4,have u tried plugging it in,,
e600ce9965fadb5e,DISCONNECTION,DISCONNECTION.sm,DISCONNECTION,Moe Shop,dance-single,beginner,2,media offline,,
b32c5908a47afc44,DISCONNECTION,DISCONNECTION.ssc,DISCONNECTION (Hard),Moe Shop,dance-single,challenge,9,DS,step off the grid,Benpai
fd8afbbf787e17c7,Damaio,Damaio.ssc,Damaio (Hard),En\-vy,dance-single,challenge,10,BR JU-,青二才が・・・去れい！,dimo
702d12f7153dfec5,Dr. Wilys Castle (From Megaman 2),Dr. Wilys Castle Stage 1 (From Megaman 2).ssc,Dr. Wilys Castle (Medium),Bossfight,dance-single,challenge,8,FS,,HellKiteChaos
9a5e366400f59236,GIMME LOVE,GIMME LOVE.ssc,GIMME LOVE (Medium),Łaszewo,dance-single,challenge,8,No Tech,,dimo
20416aedbdd59653,Illuzion,Illuzion.ssc,Illuzion (Medium),Shirobon,dance-single,challenge,8,No Tech,No Tech,Highflyer
2d8af9e16da4e23a,Kotake & Koume's Theme,Kotake & Koume's Theme.ssc,Kotake & Koume's Theme,Vector U,dance-single,challenge,11,FS+ XO BR BU DS MA-,,HellKiteChaos
ab70937938c39775,Nasty (Match My Tweak Remix),nasty match my tweak.ssc,Nasty (Hard),Tinashe remixed by Jane Remover,dance-single,challenge,10,FS XO,,Exschwasion
f07b623a9324570d,Safe & Sound,Safe & Sound.ssc,Safe & Sound,Mesto,dance-single,challenge,10,BXF,,Wafles
f96a28b54873a734,Slow Burner,Slow Burner.ssc,Slow Burner,"Interplanetary Criminal, Original Koffee",dance-single,challenge,10,FS KS-,he's not THAT slow,midtown
1dc29ef7904a58b1,Stratoliner,stratoliner.ssc,Stratoliner (Medium),C-Show,dance-single,challenge,8,,,sorae
d0ee6c126ac9c710,ULTRA SYNERGY MATRIX (MYUKKE. REMIX),ULTRA SYNERGY MATRIX (MYUKKE. REMIX).ssc,ULTRA SYNERGY MATRIX (Hard),Tanchiky,dance-single,challenge,10,XMOD FX- DS XO,,Scrypts vs Talkion
4c99bd7995c84915,Uncontrollable,Uncontrollable.ssc,Uncontrollable (Medium),Eleganto & Zadquiel,dance-single,challenge,9,XO,,altic
ded54c81a7bd03dc,let you go,let you go.ssc,let you go (Medium),"Glitch Cat, RXMALIAN, TSVNEO",dance-single,challenge,9,BR FS,,Snap
ba6a606e74c8ee00,make you mine,make you mine - Madison Beer.sm,make you mine,Madison Beer,dance-single,challenge,8,,,
ba6a606e74c8ee00,make you mine,make you mine - Madison Beer.ssc,make you mine,Madison Beer,dance-single,challenge,8,,,Tony S.
